id_fake_news,information,veracite,explication_resume,explication_details_lien
37,Cette vidéo montre-t-elle des débordements à Paris le 19 mars ?,FAUX,C'est une vidéo qui montre une manifestation de taxis en janvier 2016.,http://www.lemonde.fr/les-decodeurs/article/2017/03/20/une-video-manipulee-fait-croire-a-des-debordements-a-paris-dimanche-19-mars_5097809_4355770.html
38,"Le gouvernement veut-il donner le droit de vote aux “criminels emprisonnés, djihadistes inclus” ?",FAUX,Le gouvernement souhaite simplement expérimenter aux législatives de 2017 la possibilité de voter dans les prisons pour les détenus qui ne sont pas déchus de leur droit de vote. Rien ne changera pour les détenus dont le droit de vote a été retiré.,https://crosscheck.firstdraftnews.com/checked-french/gouvernement-vote-criminels-djihadistes/
39,Emmanuel Macron a-t-il fait un cadeau fiscal de 14 milliards d'euros à Patrick Drahi ? ,FAUX,Le qualificatif de cadeau fiscal tout comme le montant évoqué de 14 milliards d'euros ne se basent sur aucun fait.,http://www.lemonde.fr/les-decodeurs/article/2017/04/03/comment-des-sites-d-extreme-droite-fabriquent-un-recit-alternatif-de-la-presidentielle_5105207_4355770.html
40,Les tombes juives du cimetière de Pantin ont-elles été profanées ?,FAUX,Il s'agissait en fait d'un accident : un camion a fini sa course dans la carré juif du cimetière pour éviter une collision avec une voiture.,https://crosscheck.firstdraftnews.com/checked-french/cimetiere-juif-profanation/
41,L’Hôtel de la Marine va-t-il être converti en musée de l’esclavage?,FAUX,"Le futur objet du lieu n'a pas encore été défini, mais la direction du Centre des monuments nationaux assure qu'il ne s'agira pas d'un musée de l'esclavage.",https://crosscheck.firstdraftnews.com/checked-french/musee-esclavage-marine/
42,La mairie de Paris va-t-elle remplacer le phare breton du XVe par des logements pour migrants ?,FAUX,"Il s'agit d'une résidence qui accueille des étudiants, jeunes travailleurs et des travailleurs migrants.",https://crosscheck.firstdraftnews.com/checked-french/maire-phare-migrants-breton/
43,Les premiers résultats d'enquête de l'ONU sur l'attaque chimique de Khan Cheikhoun en 2017 incriminent-ils les rebelles syriens ?,FAUX,"Il s'agit d'une déformation d'analyses concernant d'autres faits publiées en 2013, qui n'ont rien à voir avec cette situation.",http://www.lemonde.fr/les-decodeurs/article/2017/04/12/bombardement-chimique-de-khan-cheikhoun-en-syrie-les-intox-a-l-epreuve-des-faits_5110175_4355770.html
44,L'attaque de Khan Cheikhoun en 2017 est-elle le résultat du bombardement de stocks d'armes chimiques et pas de bombardements chimiques ? ,FAUX,"Il s'agit de la version officielle syrienne, largement démentie par les faits.",http://www.lemonde.fr/les-decodeurs/article/2017/04/12/bombardement-chimique-de-khan-cheikhoun-en-syrie-les-intox-a-l-epreuve-des-faits_5110175_4355770.html
45,François Fillon a-t-il été blanchi ? ,FAUX,"En réalité, le candidat reste mis en examen pour détournement de fonds publics, complicité et recel de détournement de fonds publics, complicité et recel d’abus de bien sociaux et manquements aux obligations de déclaration à la Haute Autorité pour la transparence de la vie publique.",http://www.lemonde.fr/les-decodeurs/article/2017/04/13/la-curieuse-theorie-qui-veut-faire-croire-que-francois-fillon-a-ete-blanchi_5110844_4355770.html
46,La tombe de Jean Marais a-t-elle d’être pillée dans l’indifférence médiatique en 2017 ?,FAUX,Les faits datent de janvier 2016 et ont été relayés par de nombreux médias à l'époque.,https://crosscheck.firstdraftnews.com/checked-french/tombe-marais-pillage/
47,Philippe Poutou dans un salon VIP d'Air France ? ,FAUX,"Cette image circule sur les réseaux sociaux, mais l'entourage du candidat du NPA dément qu'il s'agisse d'un « salon VIP ».",http://www.lemonde.fr/election-presidentielle-2017/live/2017/04/14/suivez-l-actualite-politique-en-direct_5111106_4854003.html?highlight=839947109
48,Najat Vallaud Belkacem souhaite-t-elle supprimer la philosophie en filières L et ES ?,FAUX,"C'était une erreur au journal officiel en 2015, rectifiée deux jours plus tard.",https://crosscheck.firstdraftnews.com/checked-french/suppression-philosophie-lycee/
49,Jean-Luc Mélenchon veut-il interdire le porc dans les cantines scolaires  ?,FAUX,Il veut simplement proposer des menus végétariens.,http://www.lemonde.fr/les-decodeurs/article/2017/04/18/non-melenchon-ne-veut-pas-interdire-le-porc-dans-les-cantines_5113059_4355770.html
50,Cet article donne-t-il les résultats de la présidentielle 2017 ?,FAUX,"Il s'agit d'une invention de Wikistrike, le vote électronique est impossible pour la présidentielle, les résultats présentés sont donc forcément faux.",http://www.lemonde.fr/les-decodeurs/article/2017/04/21/etudes-bidons-rumeurs-boules-puantes-le-grand-n-importe-quoi-de-fin-de-campagne_5115237_4355770.html
51,Le Canard Enchaîné a-t-il censuré une enquête sur un compte offshore d'Emmanuel Macron ?,FAUX,L'article qui lance cette rumeur n'a aucune source et l'hebdomadaire satirique dément l'information.,http://www.lemonde.fr/les-decodeurs/article/2017/04/21/etudes-bidons-rumeurs-boules-puantes-le-grand-n-importe-quoi-de-fin-de-campagne_5115237_4355770.html
52,François Asselineau est-il donné gagnant au premier tour dans un sondage ?,FAUX,"Il s'agit d'une étude réalisée avec le vote des internautes, qu'on ne peut qualifier de sondage et n'a aucune valeur scientifique.",http://www.lemonde.fr/les-decodeurs/article/2017/04/21/etudes-bidons-rumeurs-boules-puantes-le-grand-n-importe-quoi-de-fin-de-campagne_5115237_4355770.html
53,Faut-il se fier aux prévisions de « Predicto » ?,FAUX,Il s'agit d'une étude réalisée à partir du « bruit » sur les réseaux sociaux qu'on ne peut qualifier de sondage et n'a aucune valeur scientifique.,http://www.lemonde.fr/les-decodeurs/article/2017/04/21/etudes-bidons-rumeurs-boules-puantes-le-grand-n-importe-quoi-de-fin-de-campagne_5115237_4355770.html
54,Emmanuel Macron s'est-il lavé les mains après avoir rencontré des travailleurs ? ,FAUX,"Emmanuel Macron se lavait en réalité les mains après avoir touché une anguille. Par ailleurs, il n'a jamais dit se sentir  « sale » après avoir serré la main d'un « pauvre », il s'agit d'un article satirique du site Le Gorafi.",http://www.lemonde.fr/les-decodeurs/article/2017/04/27/macron-et-les-mains-sales-des-ouvriers-l-intox-qui-a-entache-l-image-du-candidat_5118677_4355770.html
55,Emmanuel Macron veut-il exonérer les multimillionnaires de taxes sur le capital ? ,FAUX,Les projets du candidat ont en réalité été présenté de manière trompeuse.,http://www.lemonde.fr/les-decodeurs/article/2017/04/26/non-emmanuel-macron-ne-veut-pas-exonerer-les-multimillionnaires-de-taxes-sur-le-capital_5118161_4355770.html
56,Jean-Luc Mélenchon et Marine Le Pen sont-ils autant d'accords que le dit ce tract militant ? ,FAUX,Nous avons relevé de nombreuses erreurs et imprécisions.,http://www.lemonde.fr/les-decodeurs/article/2017/04/26/un-trac-fn-de-supposes-points-communs-pour-recuperer-les-electeurs-de-melenchon_5117895_4355770.html
57,Emmanuel Macron veut-il faire rentrer la Turquie dans l'Union européenne ? ,FAUX,"C'est faux, le candidat n'a jamais soutenu une telle mesure.",https://crosscheck.firstdraftnews.com/checked-french/macron-turquie-ue/
58,Emmanuel Macron veut-il supprimer les allocations familiales ? ,FAUX,"C'est faux, le candidat n'a jamais soutenu une telle mesure.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_emmanuel-macron-veut-il-supprimer-les-allocations-familiales
59,Ce compte Twitter est-il celui de Brigitte Macron ? ,FAUX,Faux : il s'agissait d'un compte Twitter qui usurpait l'identité de la candidate et a été fermé depuis.,http://www.lemonde.fr/les-decodeurs/article/2017/05/02/le-sondage-de-brigitte-macron-moque-par-l-extreme-droite-venait-d-un-faux-profil_5120985_4355770.html
60,Des militants d'En marche ! ont-ils appelé à tuer Marine Le Pen par SMS ? ,FAUX,Il s'agissait de faux SMS relayés par des cadres du FN.,http://www.lemonde.fr/les-decodeurs/article/2017/05/05/des-cadres-du-fn-diffusent-de-faux-sms-pour-accuser-des-militants-d-en-marche_5123266_4355770.html
61,Philippe Poutou a-t-il joué dans un film X de Jacquie et Michel ?,FAUX,"Il s'agit d'un canular d'un site parodique, Secret News.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_philippe-poutou-a-t-il-joue-dans-un-film-x-de-jacquie-et-michel
62,Najat Vallaud-Belkacem obligera-t-elle tous les élèves à suivre le Radaman dès 2017 ?,FAUX,Il s'agit d'un canular du site belge Nordpresse.,http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_najat-vallaud-belkacem-obligera-t-elle-tous-les-eleves-a-suivre-le-radaman-des-2017
63,Emmanuel Macron veut-il supprimer les aides au logement pour les étudiants ? ,FAUX,La mesure ne figure pas à son programme et n'a jamais été annoncée par le candidat ou ses équipes. ,http://www.20minutes.fr/politique/2065275-20170510-emmanuel-macron-victime-fausse-nouvelle-apl-bourses-etudiantes
64,François Hollande a-t-il fait construire à Tulle une mosquée financée par l'argent public ? ,FAUX,Les articles qui ont circulé sur les réseaux sociaux depuis 2015 ont largement déformé les faits.,http://www.lemonde.fr/les-decodeurs/article/2015/02/10/rumeurs-et-fausses-informations-autour-d-un-projet-de-mosquee-a-tulle_4573443_4355770.html
65,"Le corossol, également appelé graviola, est-il un « fruit miracle anti-cancer » ? ",FAUX,Aucune étude ne valide cette thèse et les spécialistes mettent en garde contre les théories qui visent à faire croire qu'un aliment miracle pourrait faire guérir du cancer.,http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_le-corossol-est-il-un-fruit-miracle-anti-cancer
66,L'Europe a-t-elle interdit le camembert « fabriqué en Normandie » ?,FAUX,Il s'agit d'une fausse information relayée notamment par des personnalités d'extrême droite.,http://www.lemonde.fr/les-decodeurs/article/2017/05/19/non-l-europe-n-a-pas-interdit-le-camembert-fabrique-en-normandie_5130706_4355770.html
67,Y a-t-il 7 millions d'Algériens en France ?,FAUX,"L’extrême droite a accusé fin 2016 un sondage de largement sous-estimer le nombre de musulmans en France, avec de faux arguments.",http://www.lemonde.fr/les-decodeurs/article/2016/09/22/la-fausse-rumeur-des-7-millions-d-algeriens-en-france_5001751_4355770.html
68,Les vaccins peuvent-ils causer l'autisme ? ,FAUX,"Il n’y a aucune relation entre les troubles autistiques et les vaccins, comme l’ont prouvé au moins cinq études scientifiques indépendantes depuis 1998.",http://www.lemonde.fr/les-decodeurs/article/2016/09/16/idee-recue-n-2-les-vaccins-peuvent-causer-l-autisme_4998678_4355770.html
69,Slobodan Milosevic a-t-il été blanchi par le Tribunal pénal international ? ,FAUX,"C'est faux, comme nous l'a expliqué le Tribunal pénal international.",http://www.lemonde.fr/les-decodeurs/article/2016/08/24/non-slobodan-milosevic-n-a-pas-ete-blanchi-par-le-tribunal-penal-international_4987414_4355770.html
70,Y a-t-il des « preuves » de tortures d'otages au Bataclan ?,FAUX,La rumeur est largement démentie par les faits.,http://www.lemonde.fr/les-decodeurs/article/2016/07/18/non-il-n-y-a-aucune-preuve-de-tortures-au-bataclan_4971370_4355770.html
71,McDonald’s fournit-il des cantines scolaires ? ,FAUX,Il s'agit en réalité d'une blague qui a par la suite été prise au sérieux.,http://www.lemonde.fr/les-decodeurs/article/2016/07/07/mcdonald-s-fournit-des-cantines-scolaires-l-histoire-d-un-canular-pris-au-serieux_4965636_4355770.html
72,Les pommes industrielles sont-elles enduites de cire toxique en France ? ,FAUX,Des messages alarmistes qui circulent sur les réseaux sociaux font beaucoup de raccourcis.,http://www.lemonde.fr/les-decodeurs/article/2016/06/08/les-approximations-d-un-post-facebook-qui-alerte-sur-les-pommes-et-les-produits-toxiques_4943321_4355770.html
73,Existe-t-il un excédent caché de la Sécurité sociale de 9 milliards d'euros ? ,FAUX,"Il s'agit d’une chaîne d’e-mails qui piège des internautes depuis des années, malgré les démentis.",http://www.lemonde.fr/les-decodeurs/article/2016/04/26/les-fausses-informations-de-l-e-mail-choc-qui-veut-dire-la-verite-sur-le-trou-de-la-secu_4908933_4355770.html
74,Peut-on protéger ses données sur Facebook en publiant un message sur son profil ? ,FAUX,Les messages de ce type n'ont en réalité aucune valeur juridique.,http://www.lemonde.fr/les-decodeurs/article/2016/07/01/les-messages-pour-proteger-son-profil-facebook-sont-de-retour-mais-toujours-inutiles_4961943_4355770.html
75,Facebook va-il devenir payant ? ,FAUX,Le réseau social a toujours assuré qu'il resterait gratuit.,https://www.facebook.com/hoaxbuster/posts/10151676322928648
76,9 000 bébés ont-ils été échangés par une infirmière dans des maternités françaises ? ,FAUX,"Il s'agit en réalité d'une histoire inventée par Secret News, un site parodique.",http://www.lemonde.fr/les-decodeurs/article/2017/06/12/la-fausse-histoire-des-9-000-bebes-echanges-par-une-infirmiere-dans-des-maternites-francaises_5143267_4355770.html
77,Le maillot du FC Barcelone est-il interdit en Arabie saoudite ou aux Emirats arabes unis ? ,FAUX,L'information est démentie par le club et par les ambassades d'Arabie saoudite et des Emirats arabes unis en France.,http://www.lemonde.fr/les-decodeurs/article/2017/06/13/non-porter-le-maillot-du-fc-barcelone-n-est-pas-puni-de-quinze-ans-de-prison-en-arabie-saoudite_5143780_4355770.html
78,Gérard Collomb a-t-il annoncé que le port du hijab serait bientôt autorisé dans la police nationale ? ,FAUX,"Il s'agit d'une fausse citation inventée par le site satirique Secret News, reprise ensuite au premier degré par d'autres sites internet.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_gerard-collomb-a-t-il-annonce-que-le-port-du-hijab-serait-bientot-autorise-dans-la-police-nationale
79,Les fonctionnaires européens ont-ils droit à la retraite à 50 ans à 9 000 euros par mois ?  ,FAUX,"Les fonctionnaires européens ont droit à la retraite après dix ans de service s'ils ont plus de 66 ans. Quant au montant des pensions, il dépend de l'ancienneté mais est loin des 9 000 euros annoncés.",http://www.lemonde.fr/les-decodeurs/article/2014/05/12/non-les-fonctionnaires-europeens-ne-partent-pas-en-retraite-a-50-ans_4415123_4355770.html
80,Des gangs utilisent-ils des petits garçons ou petites filles pour enlever des femmes ? ,FAUX,"Cette soi-disante alerte enlèvement n'a rien d'un message officiel. Il s'agit d'une légende urbaine qui a circulé sous diverses formes depuis 2005 aux Etats-Unis, qui ne se base sur aucun fait avéré. Des sites peu fiables l'ont relayée en France, mais les autorités n'ont jamais diffusé d'avertissement à ce sujet.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_des-gangs-utilisent-ils-des-petits-garcons-ou-petites-filles-pour-enlever-des-femmes
81,A-t-on retrouvé de la viande humaine dans des produits McDonald's aux Etats-Unis ? ,FAUX,Il s'agit d'un canular parti du site satirique américain Huzlers qui a ensuite été pris au sérieux par de nombreux sites peu fiables.,http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_a-t-on-retrouve-de-la-viande-humaine-dans-des-produits-mcdonalds-aux-etats-unis
82,La taurine contenue dans les boissons énergisantes comme le Red Bull provient-elle du sperme de taureau ? ,FAUX,"Si le Red Bull contient bel et bien de la taurine, la substance est en réalité synthétique et pas d'origine animale.",http://journalmetro.com/opinions/inspecteur-viral/1024775/non-les-boissons-energisantes-ne-contiennent-pas-de-sperme-ou-durine-de-taureau/
83,Une loi va-t-elle forcer les célibataires à accueillir des migrants ?,FAUX,"Il s'agit d'un canular lancé par le site belge Nordpresse, repris ensuite au premier degré par différents sites peu fiables.",http://www.francetvinfo.fr/replay-radio/le-vrai-du-faux-numerique/aucune-loi-ne-va-imposer-l-hebergement-d-un-migrant-chez-les-celibataires_1777089.html
84,Existe-t-il une arnaque répandue consistant à voler des voitures en attirant son conducteur avec un billet glissé sous son essuie-glace ?,FAUX,"Malgré l'existence de nombreux articles relayant cette rumeur, il ne s'agit pas d'une arnaque répandue. Régulièrement montée en épingle depuis 2004, cette légende urbaine tire sa source de très rares cas aux Etats-Unis.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_existe-t-il-une-arnaque-repandue-consistant-a-voler-des-voitures-en-attirant-son-conducteur-avec-un-billet-glisse-sous-son-essuie-glace
85,De la drogue (méthamphétamine) circule-t-elle sous forme de bonbons dans les écoles ?,FAUX,"Il s'agit d'une fausse information persistante qui circule sous diverses formes depuis 2008. Cette rumeur a déjà suscité des pics de panique, notamment en 2010, mais les autorités l'ont toujours démentie.",http://www.leparisien.fr/faits-divers/haute-garonne-afflux-d-appels-a-la-prefecture-apres-un-canular-08-11-2010-1141572.php
